Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-07-03,148.0,148.35,148.0,148.2,0.2,148.2,13.0,49.0
2018-07-02,147.6,148.3,147.4,148.3,3.15,148.0,60.0,28.0
2018-06-29,144.85,146.3,144.85,146.3,1.55,144.85,14.0,24.0
2018-06-28,144.3,144.65,143.3,143.3,0.2,143.3,13.0,21.0
2018-06-27,143.3,143.5,143.3,143.5,0.85,143.5,2.0,21.0
2018-06-26,144.375,144.5,144.3,144.3,1.075,144.35,2.0,19.0
2018-06-25,143.275,143.275,143.275,143.275,2.225,143.275,8.0,18.0
2018-06-22,145.5,145.5,145.2,145.5,,145.5,16.0,15.0
2018-06-21,145.5,145.5,145.5,145.5,0.5,145.5,2.0,14.0
2018-06-20,146.0,146.0,145.7,145.7,0.975,146.0,1.0,13.0
2018-06-19,144.6,145.6,144.375,145.55,1.7,145.025,18.0,0.0
2018-06-18,,,,,0.075,143.325,0.0,0.0
2018-06-15,,,,,0.825,143.4,0.0,0.0
2018-06-14,,,,,1.275,142.575,0.0,0.0
2018-06-13,,,143.4,143.4,0.475,143.85,0.0,0.0
2018-06-12,,,143.55,143.55,,144.325,0.0,0.0
2018-06-11,,,,,0.55,144.325,0.0,0.0
2018-06-08,,,,,,144.875,0.0,0.0
